X,Y,U,V,P
0.868750,0.068750,-0.008249,-0.002813,0.125642
0.881250,0.068750,-0.006931,-0.002468,0.121789
0.893750,0.068750,-0.005716,-0.002095,0.117668
0.906250,0.068750,-0.004609,-0.001699,0.113320
0.918750,0.068750,-0.003617,-0.001288,0.108788
0.931250,0.068750,-0.002744,-0.000872,0.104115
0.943750,0.068750,-0.001990,-0.000469,0.099345
0.956250,0.068750,-0.001352,-0.000103,0.094519
0.968750,0.068750,-0.000823,0.000191,0.089677
0.981250,0.068750,-0.000390,0.000362,0.084840
0.993750,0.068750,-0.000098,0.000357,0.079089
0.006250,0.081250,-0.000030,0.000150,-0.281137
0.018750,0.081250,-0.000153,0.000583,-0.282280
0.031250,0.081250,-0.000412,0.001091,-0.283092
0.043750,0.081250,-0.000818,0.001630,-0.283451
0.056250,0.081250,-0.001374,0.002175,-0.283313
0.068750,0.081250,-0.002082,0.002711,-0.282645
0.081250,0.081250,-0.002939,0.003226,-0.281417
0.093750,0.081250,-0.003941,0.003715,-0.279602
0.106250,0.081250,-0.005081,0.004172,-0.277181
0.118750,0.081250,-0.006351,0.004594,-0.274138
0.131250,0.081250,-0.007742,0.004977,-0.270462
0.143750,0.081250,-0.009244,0.005321,-0.266148
0.156250,0.081250,-0.010846,0.005622,-0.261195
0.168750,0.081250,-0.012536,0.005880,-0.255608
0.181250,0.081250,-0.014303,0.006093,-0.249395
0.193750,0.081250,-0.016134,0.006262,-0.242570
0.206250,0.081250,-0.018016,0.006387,-0.235151
0.218750,0.081250,-0.019937,0.006468,-0.227160
0.231250,0.081250,-0.021885,0.006506,-0.218623
0.243750,0.081250,-0.023846,0.006502,-0.209569
0.256250,0.081250,-0.025808,0.006457,-0.200030
0.268750,0.081250,-0.027760,0.006372,-0.190043
0.281250,0.081250,-0.029689,0.006251,-0.179643
0.293750,0.081250,-0.031585,0.006093,-0.168872
0.306250,0.081250,-0.033436,0.005901,-0.157772
0.318750,0.081250,-0.035232,0.005677,-0.146385
0.331250,0.081250,-0.036964,0.005423,-0.134755
0.343750,0.081250,-0.038620,0.005141,-0.122928
0.356250,0.081250,-0.040193,0.004833,-0.110950
